timestamps,TP9,AF7,AF8,TP10
1621565073.570,-0.488,-24.902,-26.855,-6.836
1621565073.574,-15.625,-24.902,-27.344,-18.555
1621565073.578,-38.574,-30.762,-28.320,-41.992
1621565073.582,-37.598,-32.227,-29.297,-36.621
1621565073.586,-15.137,-29.785,-28.320,-11.719
1621565073.590,-22.461,-31.250,-26.367,-18.555
1621565073.594,-51.758,-32.715,-26.855,-51.270
1621565073.598,-48.340,-31.738,-22.461,-49.316
1621565073.602,-20.020,-30.273,-24.902,-15.137
1621565073.606,-8.301,-31.250,-27.344,-13.672
1621565073.610,-40.527,-31.738,-23.926,-52.246
1621565073.614,-45.410,-28.809,-21.973,-52.246
1621565073.618,-22.461,-31.738,-24.414,-29.785
1621565073.622,-1.465,-30.762,-27.344,-17.090
1621565073.626,-16.602,-27.344,-21.484,-38.086
1621565073.630,-44.434,-30.273,-24.414,-52.734
1621565073.634,-28.320,-31.738,-25.879,-34.180
1621565073.637,6.836,-32.227,-20.996,-4.395
